Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
603,SoapSox,"plush toys that work as bath sponges . SoapSox washcloths are plush toys and the next generation of bath time washcloths for kids. Invented by two dads and approved by moms everywhere, your kids will have fun in the bath with these soft, vibrant and colorful animal characters and get clean at the same time. Great for the nervous little bathers.",0,
602,Kronos,"premium golf putters . For all you golfers who happen to be Kill Bill fans, Kronos is like the Hattori Hanzo of golf putters. For anyone else who doesnâ€™t get the reference, Kronos are beautifully designed, hand polished, premium built,  golf putters. They are assembled by the worldâ€™s finest craftsmen using only the best techniques with the highest quality materials. Not all putters are created equally.",1,RH
602,Roominate,"a construction set toy . Roominate is a brain stimulating, award winning toy perfect for aspiring young kids who love to learn and have fun. ItÂ is affiliated with STEM, touching on critical thinking within the Science, Tech, Engineering and Math fields. Roominate is toted as an open-ended version of LEGOs.",1,LG+MC
602,The Floating Mug Co.,"mugs and glasses with built-in coasters . Grand in idea yet simple and functional in design, The Floating Mug is aÂ smart mug that lets moisture roll down the side instead of building up liquid and spilling on you at the base. This is an absolute winner of a gift, especially for folks who have grown accustom to coffee spillage while on the go or at the office desk.",0,
602,Wedding Wagon,a van used as a mobile wedding chapel . a van used as a mobile wedding chapel,0,
601,Amber,a cellphone charging station . a cellphone charging station,0,
601,Bombas,"quality athletic socks . Bombas are really REALLY comfortable and quite possibly the only socks youâ€™ll ever want to wear for the rest of your life. BombasÂ are offered in ankle and calf form and they come in different sizes. There is an assortment of colors and they are available for Men, Women and Kids.",1,DJ
601,Hammer & Nails,a masculine nail salon . a masculine nail salon,0,
601,Sleeping Baby,"sleepwear for newborns that imitates the protection of the womb so they don't wake as easily . Any parent who has been through the rounds of raising a newborn knows how important swaddling a baby is. Swaddling isÂ the art of snugly wrapping a baby in a blanket for warmth and security, imitating their environment in the womb. Sleeping Baby is fantastic because itâ€™s swaddle-like, easy and wearable ready to go sleepwear.",1,DJ
529,Baker's Edge,innovative baking pans and accessories ,0,
529,BZbox,collapsible storage boxes . collapsible storage box design,1,LG
529,Foot Fairy,an iPad app which measures your child's foot size . an iPad app which measures your childâ€™s foot size,1,MC
529,Tie-Not,a water balloon filling and tying device . water balloon filler and tying device,0,
528,Bon Affair,a premium wine spritzer . a premium wine spritzer,1,MC
528,Cinnaholic,custom gourmet cinnamon rolls . custom gourmet cinnamon rolls,1,Others
528,Hargitt Marine Services,a treasure hunter who wants funding to salvage cargo from a sunken ship . a treasure hunter who wants funding to salvage cargo from a sunken ship,0,
528,Oru Kayak,"a kayak that can be folded into a compact suitcase . This is not just any ordinary Kayak. Itâ€™s a foldable, portable Kayak that performs with the best of â€˜em. All you need is 5 minutes to take it from backpackÂ to a boat. Aside from its convenience, itâ€™s highly durable as well. The Oru is offered in two models. The Bay and the premium Bay+.",1,RH
527,Angellift,facial lifting strips . facial lifting strips,1,LG
527,HangEase,a folding plastic clothes hanger . a folding plastic clothes hanger,1,Others
527,Susty Party,eco-friendly party supplies . eco-friendly party supplies,0,
527,The Bouqs Company,simplified floral bouquets . simplified floral bouquets,0,
526,Cerebral Success,"a brain supplement designed to enhance focus, memory, and mental energy . a brain supplement designed to enhance focus, memory, and mental energy",1,BC
526,Crio,a brewed drink made from cocoa beans . brewed drink made from cocoa beans,0,
526,Mo's Bows,handmade bowties . handmade bowties,0,
526,Rugged Maniac,an obstacle race event . an obstacle race event,1,MC
525,Fort Magic,a building and construction toy . a building and construction toy,0,
525,iLumi,"a versatile home lighting system controlled from a smartphone . Toted as the worldâ€™s smartest lights, iLumi is pre-programmed LED lighting that can be screwed into any existing fixture and wirelessly controlled by phone app. iLumi allows you to really set the mood and customize the lighting for every setting type. Great features are its simulated sunrise and ability to sync to the beat of any music.",1,Others
525,Intelli-Stopper Technology,a wine bottle stopper with an indicator that shows if there is air inside . a bottle stopper with an indicator that shows if there is air inside,0,
525,ZooBean,a subscription service for children's books . subscription service for childrenâ€™s books,1,MC
524,Fun Time Express,a trackless train ride for malls . a trackless train ride for malls,1,KOL+LG
524,PowerPot,a cooking pot that generates electricity as you heat up water . a cooking pot that generates electricity as you heat up water,1,MC
524,Quickstop Fire Sprinkler Tools,a simple tool to immediately stop water from a fire sprinkler . a simple tool to immediately stop water from a fire sprinkler,0,
524,Taylor Robinson Music,an online platform for finding music instructors . an online platform for finding music instructors,0,
523,Happy Feet,"fanciful slippers . If you are a slippers in the home kind of person, Happy Feet areÂ right up your alley. With superior quality and uniquelyÂ plumpÂ by design, Happy Feet slippers are ULTRA comfortable fuzzy slippers for both him and her. They are available in the Original Happy Feet design, Animal Characters, Holiday Themed Animals and your favorite sports teams. Aside from looking damn comfortable, these fat slippers keep your feet warn.",1,RH
523,Hold Your Haunches,leggings with a built-in shaper . leggings with a built-in shaper,1,BC+LG
523,Lord Nut Levington,gourmet peanuts . gourmet peanuts,0,
523,Velocity Signs,robotic sign waving machines . robotic sign waving machines,1,KOL+MC+RH
522,Kodiak Cakes,a whole grain flapjack and waffle mix . a whole grain flapjack and waffle mix,0,
522,Monkey Mat,a portable fabric floor covering . a portable fabric floor covering,1,LG+MC
522,Plated,a service that delivers pre-measured ingredients for various recipes to your door . a service that delivers pre-measured ingredients for various recipes to your door,1,MC
522,The Paint Brush Cover,a device that prevents paintbrushes from drying out . a device that prevents paintbrushes from drying out,1,LG
521,Chapul,energy bars made with cricket proteins . energy bar made of cricket proteins,1,MC
521,Garage Door Lock,a locking system for garage doors . garage door locking system,1,DJ
521,MorningHead,a cap for curing bed head hair . a cap for curing bed head hair,0,
521,Packback Books,a digital textbook rental service . a digital textbook rental service,1,Others
520,Boo Boo Goo,"a colored, waterproof liquid bandage . a colored, waterproof liquid bandage",1,KOL
520,Define Bottle,a water bottle specially designed for infusing fresh fruit flavor . a water bottle specially designed for infusing fresh fruit flavor,0,
520,Henry's Humdingers,spicy flavored honeys . spicy flavored honeys,1,MC+RH
520,iReTron,an electronics recycling service . electronics recycling service,1,BC+MC
519,RevoLights,"an innovative lighting system for bicycles . Menâ€™s Journal calls it â€œThe best bike lighting system in the world.â€ Revolights doesnâ€™t just look cool, it operates cool too. Revolights is revolutionary design for bikes that provides a fully functional headlight, brakelight and true 360 degree visibility. Some other awesome features is that it is water resistant, theft resistant and charges via USB connectivity.",1,RH
519,Squeeky Knees,clothing for crawling babies with built-in squeakers in the knees . clothing for crawling babies with built-in squeakers in the knees,0,
519,The Buffer Bit,a shoe buffing pad that attaches to a power drill . a shoe buffing pad that attaches to a power drill,0,
519,U-Lace,interchangeable mix and match shoelaces for easily changing the look and style of sneakers . interchangable mix and match shoelaces for easily changing the look and style of sneakers,1,MC
518,Bambooee,bamboo paper towels that are washable and reusable . bamboo paper towels that are washable and reusable,1,LG
518,Buzzy4Shots,a device that uses vibration to numb skin in preparation for medical shots . a device that uses vibration to numb skin in preparation for medical shots so they donâ€™t hurt,0,
518,Cheek'd,a unique dating service ,0,
518,ZipIt,a fitted sheet and sleeping bag combo for making beds quickly and easily . a fitted sheet and sleeping bag combo for making beds quickly and easily,0,
517,DDP Yoga,a fitness program based on yoga developed by former pro wrestler Diamond Dallas Page . a fitness program based on yoga developed by former pro wrestler Diamond Dallas Page,0,
517,Moberi,a bicycle-powered juice and smoothie cart . a bicycle-powered juice and smoothie cart,0,
517,Southern Culture Artisan Foods,specialty pancake and waffle mixes . specialty pancake and waffle mixes,1,BC
517,Spy Escape and Evasion,a spy school via seminar classes that teach defense tactics . a spy school via seminar classes that teach defense tactics,1,DJ
516,Cow Wow Cereal Milk,flavored milk that tastes like what's left at the bottom of a bowl of cereal . flavored milk that tastes like whatâ€™s left at the bottom of the cereal bowl,0,
516,Cycloramic,an app that takes 360-degree pictures by making the phone spin itself around . app that takes 360-degree pictures by making an iPhone spin itself around,1,LG+MC
516,Nexersys,a fitness and gaming platform . fitness and gaming platform,0,
516,The Cookie Dough Cafe,cookie dough in a jar that is designed to be eaten raw . cookie dough in a jar that is designed to be eaten raw,1,LG
515,FitDeck,custom playing cards for exercising . custom playing cards for exercise,0,
515,Freshly Picked,moccasins for babies . moccasins for babies,1,DJ
515,LifeCaps,emergency nourishment pills . emergency nourishment pill,0,
515,SwimZip,children's swimwear with UV sun protection . childrenâ€™s swimwear with UV sun protection,1,LG
514,Alaska Glacial Mud Co.,a facial mask made from Alaskan glacial mud . a facial mask made from Alaskan glacial mud,0,
514,Balloon Distractions,a business that provides balloon artists to restaurants to entertain customers while they wait for their food . a business that provides balloon artists to restaurants to entertain customers while they wait for their food,0,
514,InvisiPlug,powerstrips designed to blend in with hardwood floors . powerstrips designed to blend in with hardwood floors,1,LG
514,LockerBones,customizable shelving for school lockers . customizable shelving for student lockers,1,LG+RH
513,Bounce Boot Camp,a company that uses inflatable bounce houses as fitness equipment for children . a company that uses inflatable bounce houses as fitness equipment for children,0,
513,EyeBloc,a plastic cover for laptop webcams . a plastic cover for laptop webcams,0,
513,GrooveBook,a service that creates photobooks from your smartphone photos . a service that creates photobooks from your smartphone photos,1,KOL+MC
513,The Wall DoctoRX,an easy way to patch holes in walls . an easy way to patch holes in walls,1,RH
512,Cashmere Hair,"a luxury hair extension company . Cashmere Hair offers award winning, luxury hair extensions. They are of the highest quality superior remy human hair and undetectable, looking like your real hair.Â Cashmere Hair extensions are easy to clip in, very comfortable and full in design. Women, if hair extensions are apart of your style try the quality in Cashmere Hair!",0,
512,Lite-Netics,"magnetic Christmas lights . A revolutionary Christmas light product that uses magnets instead of traditional fasteners for simple installation,Â Lite-Netics have been tested to hold up against high wind forces, heavy rain, snow and other elements of the outdoors. Lite-Netics saves you labor intensive installation and from having to purchase other costly traditional attachment accessories.",0,
512,One Life Products,a Hanukkah tree topper for interfaith families ,1,DJ
512,Tipsy Elves,"a line of holiday clothing . Want to win the nicest ugly sweater contest? Tipsy Elves has created a line of clothing themed around the Christmas holiday and it is awesome.Â These are ugly Christmas sweaters on steroids. Tipsy Elves also has themed dresses, cardigans, pajamas and college alumni sweaters. Products available for Women, Men and Kids.",1,RH
511,De-Boned Baby Back Rib Steak,ribs with the bones removed so they can be eaten with a knife and a fork . ribs with the bones removed so they can be eaten with a knife and a fork,1,DJ
511,FoHawx,a line of accessories that attach to bike helmets . a line of accessories that attach to safety helmets,0,
511,SpiritHoods,furry hoods that resemble animals . furry hoods that resemble animals,0,
511,Virtuix Omni,a virtual reality platform that allows free movement . a virtual reality platform that allows free movement,0,
510,Chocomize,customizable chocolate bars . customizable chocolate bars,0,
510,Grace and Lace,knitted boot socks . knitted boot socks,1,BC
510,PurseCase,a mini purse cell phone case that carries your smartphone and a few essentials . mini purse cell phone case that carries your smartphone and a few essentials,1,LG
510,Yubo,personalized lunchboxes that are easy to clean . personalized lunchboxes that are easy to clean,1,KOL+RH
509,DoorBot,a doorbell with a camera and speaker that connects to your smartphone . a doorbell with a camera and speaker that connects to your smartphone,0,
509,Magic Moments,an app that allows you to put your photos on products that you can sell . iPhone application that allows you to put your photos on products that you can sell,0,
509,Slawsa,a cross between a coleslaw and a salsa . unique cross between a coleslaw and a salsa,0,
509,Surprise Ride,a monthly box of themed educational activities for children . a monthly box of themed educational activities for children,0,
508,BellyBuds,"speakers for playing music to the womb of expectant mothers . Your baby is already listening at just 20 weeks in the womb. Start the bonding even sooner with Bellybuds. Featured on shows like Modern Family and Keeping Up With the Kardashians, Belly Buds lets you share music, voices and other brain stimulating sounds before the birth of your baby.",0,
508,Paparazzi Proposals,a paparazzi-style photography business that captures your proposal without being seen . rent-a-paparazzi photography business that captures your proposal without being seen,1,Others
508,PetPaint,"colored hairspray for dogs . PetPaint is colored hairspray for your dog. Color him up for the big game, holiday event and more. Itâ€™s safe and rigorously tested. Itâ€™s the safest alternative to dog costumes and dog clothing, Veterinarian approved. The paint dries quickly within 20-30 seconds and can easily be washed off with mild shampoo and water.",0,
508,Schulzies Bread Pudding,bread pudding desserts . bread pudding desserts,0,
507,180Cup,a beer cup that doubles as a shot glass . beer cup that doubles as a shot glass,1,DJ
507,Better Life,100% natural cleaning products . 100% natural cleaning products,1,LG
507,Kymera Body Board,electric powered body boards . electric powered body boards,0,
507,Tree-T-Pee,a device for watering trees more efficiently . a device for watering trees more efficiently,1,Others
506,Elephant Chat,a literal elephant in the room to aid communication between spouses . a literal elephant in the room,0,
506,FiberFix,"super strong duct tape . 100 times effectively stronger than duck tape, with FiberFix you truly can fix just about anything. No really, just about anything. From sawed in half bikes toÂ leaky pipes and hoses, FiberFix is an inexpensive all around useful tool to have around the house at all times. Try it once and youâ€™ll never go back to duck tape.",1,LG
506,Ten Thirty One Productions,an entertainment company specializing in horror attractions . entertainment company specializing in horror attractions,1,MC
506,Total Merchant Resources,a company that provides small business loans . a company that provides small business loans,1,KOL
505,Bare Ease,hair removal numbing cream and underwear . hair removal numbing cream and underwear,0,
505,Rent A Goat,a goat renting service for an environmentally friendly way to take care of your lawn . goat rental for an environmentally friendly way to take care of your lawn,0,
505,RuffleButts and RuggedButts,a children's clothing line . childrenâ€™s clothing line,1,LG
505,Veggie Mama Garden Pops,"popsicles containing fruits and vegetables, sweetened with agave nectar . popsicles containing fruits and vegetables, sweetened with agave nectar",1,BC+MC
504,Hamboards,skateboards that ride like a surfboard . skateboards that ride like a surfboard,1,RH
504,Scan,a QR code application . a QR code application,0,
504,ScreenMend,window screen repair patches . window screen repair patch,1,LG
504,Sunday Night Slow Jams,a love songs radio show . a love songs radio show,0,
503,Fairytale Wishes,aromatherapy sprays for children . aromatherapy sprays for children,0,
503,Kookn' Kap,"a breathable, non-flammable cooking cap to keep aromas out of your hair . a breathable, non-flammable cooking cap to keep aromas out of your hair",0,
503,Rapid Ramen Cooker,a specially designed bowl for cooking ramen noodles . a specially designed bowl for cooking ramen noodles,1,MC
503,The Freeloader,a piggyback carrier for children . piggyback carrier for children,1,RH
502,Breathometer,a smartphone breathalyzer . a smartphone breathalyzer,1,DJ+KOL+LG+MC+RH
502,Kane & Couture,designer dog apparel and accessories . designer dog apparel and accessories,1,DJ+LG
502,Man Medals,medals for men doing chores . medals for men doing chores,0,
502,Mango Mango,mango preserves . mango preserves,0,
501,Lynnae's Gourmet Pickles,specialty pickles . specialty pickles,0,
501,Postcard on the Run,a mobile app for sending postcards . a mobile app for sending postcards,1,RH
501,RoloDoc,a system for upgrading communication between patients and medical professionals . a system for upgrading communication between patients and medical professionals,0,
501,Sweet Ballz,cake balls . cake balls,1,BC+MC
426,Ryan's Barkery,all-natural dog treats ,1,BC
426,Three Day Rule,an invite-only dating website . invite-only dating website,0,
426,Tom + Chee,a gourmet grilled cheese sandwich restaurant . gourmet grilled cheese and tomato soup restaurant,1,BC+MC
426,VerbalizeIt,a translator service . a translator service,1,KOL
425,Baby's Badass Burgers,a food truck company wanting to expand into a storefront ,0,
425,KaZAM,a non-pedal bike for helping children learn to ride . Kazam is a balance bike and a confidence builder for young kiddos learning how to ride. Itâ€™s designed to teach kids balance and momentum before they learn how to pedal on a traditional bike. Kazam is friendly for the 2-5 age range and a veryÂ cool alternative to training wheels.,1,BC+MC
425,Pink Shutter Photobooths,party photobooths . party photobooths,1,BC
425,Track Days,a potential movie idea involving motorcycle racing . a potential movie idea involving motorcycle racing,0,
424,Mee-Ma's Louisiana Gumbo Brick,a frozen gumbo base ,1,KOL+LG
424,MistoBox,artisan coffees from around the world delivered to your door . artisan coffees from around the world delivered to your door,1,MC
424,Squirrel Boss,a squirrel-proof bird feeder . squirrel proof bird feeder,0,
424,The Vermont Butcher Block & Board Company,premium wooden kitchen products . premium wooden kitchen products,0,
423,Shell Bobbers,"a shotgun shell converted into a fishing bobber . Shell Bobbers was initially an idea spawned when two best friends, Jeff and Dusty were out on a boat duck hunting. After discharging their shotgun, they noticed the empty shell floating straight up in the water. â€˜AHA!â€™. Made in the USA, Shell Bobbers comes 3 in a pack and isÂ perfect for the Bobber Fisher or even as a gift for the fishing enthusiast.",1,MC
423,The Mission Belt,"a ratcheting belt . This is the belt reinvented. The Mission Belt is modern, clean and offers a perfect fit for everyone. It also comes in many color variations.Â Rather then have holes that stretch or wear over time, The Mission Belt uses a ratcheting magnet that easily sizes up or down for a more waste-unique custom fit. By the way, for each belt purchased, a dollar is donated to fight global hunger.",1,DJ
423,Tremont Electric,a portable generator that uses kinetic energy to power small devices ,0,
423,Wicked Good Cupcakes,"mail-order cupcakes shipped in jars . Wicked Good Cupcakes is probably all you need to say to describe these cupcakes. Moist, decadent and layered with a variety of fillings, each cupcake comes topped with Wicked Good Cupcakesâ€™ famous frosting. The cupcake is packed inside a jar, containing no preservatives and lasts up to 10 days without any sort of refrigeration. Yummy!",1,KOL
422,Geek Chic,furniture for gamers . furniture for gamers,1,RH
422,Jones Scones,traditional British scones . traditional British scones,0,
422,LugLess,a luggage shipping and delivery service . luggage shipping and delivery,0,
422,Stella Valle,military-inspired costume jewelry . military-inspired costume jewelry,1,LG+MC
421,Echo Valley Meats,"a gourmet meat business . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",1,MC
421,Gobie H2O,advanced filtered water bottles . advanced filtered water bottles,1,DJ
421,Liddup,a cooler with interior LED lighting . a cooler with interior LED lighting,1,KOL
421,Rootsuit,novelty cover-all costumes . novelty cover-all costumes,0,
420,Drop Stop,"a device to stop objects from falling between a car seat and the center console . Ever accidentally drop a quarter or a precious curly fry in between the crevices of your car seats? Another one of Lori Grienerâ€™s heroes, Drop Stop does exactly what it says and prevents objects from annoyingly falling between those hard to reach places of your vehicle.",1,LG
420,Simple Sugars,"a sugar scrub that nourishes and exfloriates skin . Simple Sugars is an all natural sugar scrub that nourishes and exfoliates the skin. Itâ€™s formulated to be gentle enough for daily use on even the most sensitive skin. The blend of all natural oils leave you feeling silky smooth without the need for additional lotion or moisturizer. Also available for Men, Simple Sugars providesÂ body scrubs, facial scrubs, foot scrub and more. Oh and it smells wonderful too!",1,MC
420,CoolWraps,shrink wrap gift bags ,1,MC
420,Traditional Fisheries,"a company that promotes consumption of lionfish, an extremely invasive species, in an effort to help the ecology . a company that promotes consumption of lionfish, an extremely invasive species, in an effort to help the ecology",0,
419,Baby Loves Disco,children's party entertainment . childrenâ€™s party entertainment,0,
419,CellHelmet,mobile device cases and screen protectors that include device repair service . mobile device cases and screen protectors that include device repair service,0,
419,CordaRoy's,bean bag chairs that convert into beds . bean bag chairs that convert into beds and that never go flat,1,LG
419,Lose 12 Inches With Any 12 Workouts,a fitness program that teaches how to improve workout efficiency . a fitness program that teaches how to improve workout efficiency and an exercise machine,1,DJ
418,Jeska Shoe Company,shoes that can change look and style . shoes that can change look and style,1,DJ
418,Neo Innovations,a home use tattoo removal device . a home use tattoo removal device,0,
418,Nuts 'n More,fortified nut butters ,1,MC+RH
418,Psi Bands,an acupressure wrist band for relieving nausea . an acupressure wrist band for relieving nausea,0,
417,Addison's Wonderland,customized children's bedspreads . customized childrenâ€™s bedspreads,0,
417,Hip Chixs,premium denim jeans . premium denim jeans,0,
417,Muddy Water Camo,more realistic camouflage for duck hunters . more realistic camouflage for duck hunters,0,
417,Proof Eyewear,handcrafted eyewear made from wood . Proof eyewear are handcrafted sunglasses made from wood framing that at one point started as a seed in the ground and grew into a tree. The process of building each frame is handledÂ by skilled artisans that have a deep passion and skill for wood making.,0,
416,Gotta Have S'More,s'more based muffins ,0,
416,How Do You Roll?,a create-your-own sushi restaurant . a create-your-own sushi restaurant,1,KOL
416,Pretty Padded Room,online psychotherapy services . online psychotherapy services,0,
416,SmartWheel,a prototype steering wheel that prevents distracted driving ,1,MC+RH
415,Grinds,"an alternative to chewing tobacco made from ground coffee . Coffee lovers unite, this is a cool one. Grinds are small pouches of flavored coffee that help you stay stimulated and focused. A healthy alternative to chewing tobacco, Grinds has plenty of B-Vitamins and other important nutrients to get you through the day. Are you grinding yet?",1,DJ+RH
415,Hoodie Pillow,"bed and neck pillows with attached hoods . Crafted from premium sweatshirt material, Hoodie Pillow is pure bliss, comfort and travelerâ€™s dream. The oversized hood allows for privacy and blocks light, while the memory foam pillow naturally allows your head and neck to rest. A perfect gift for a businessman or college student always on the go.",1,Others
415,My Cold Snap,an individual ice chest for single cans . an individual ice chest for single cans,0,
415,The Green Garmento,an eco-friendly garment bag . an eco-friendly garment bag,0,
414,Bibbitec,a baby bib that covers the whole body ,0,
414,CuddleTunes,a teddy bear that plays personalized messages . a teddy bear that plays personalized messages,0,
414,SoundBender,"a device that directs sound from iPad speakers towards the user . The ultimate sound enhancer for your tablet. Magnetically and tightly securing to your iPad, Soundbender works by guiding the sound from the speakers back in your direction. In doing so amplifies and enhances yourÂ listening experience for music, movies and video games. Soundbender comes in a variety of colors and attaches to the iPad 2, iPad 3 and iPad 4.",1,DJ
414,Xero Shoes,"sandals for barefoot runners . Studies have shown that being barefoot is better for your body and for your mind. With Xero Shoes Sandals you can abide by this mantra. A modern spin on traditional barefoot running, Xero Shoes are the most comfortable, versatile sandals on the market today. They are non slip, lightweight and protect your feet. Xero Shoes Sandals come in a variety of styles/colors and are available for men and women",0,
413,Coffee Joulies,"a capsule that absorbs and releases heat to keep warm beverages at a drinkable temperature for an extended time . Coffee Joulies is an example of a KickStarter campaign done right, garnering about $300,000 more fundingÂ then asked. Joules is a capsule that absorbs and releases heat to keep warm beverages at the temperature you want for a longer period of time than weâ€™re accustomed too. Great on beverages like coffee, tea, hot chocolate and more. If youâ€™re like me and at times neglect your recently poured cup of coffee while working at the computer, this is the perfect solution.",1,DJ+KOL+LG+RH
413,Sub Zero Ice Cream,an ice cream shop that creates fresh customized dishes that are instantly frozen using liquid nitrogen . an ice cream shop that creates fresh customized dishes that are instantly frozen using liquid nitrogen,0,
413,Teddy Needs a Bath,a bag for cleaning stuffed toys in the washing machine . a bag for cleaning stuffed toys in the washing machine,1,MC
413,Urbio,modular indoor planters for urban spaces . modular indoor planters for urban spaces,1,LG
412,ARKEG,an arcade game machine that doubles as a beer tap . an arcade game machine that doubles as a beer tap,0,
412,Dura-Tent,screen tent-like food covers . screen tent food covers,0,
412,Hot Tot,professional hair products for children . professional childrenâ€™s hair products,1,MC
412,The GameFace Company,peel-off face masks . peel-off face masks,1,LG+MC
411,Fat Ass Fudge,a homemade fudge company . a homemade fudge company,0,
411,Partie Poche,a fashion accessory for women that replaces a handbag by carrying her phone and essentials around her leg . a fashion accessory for women that replaces a handbag by carrying her phone and essentials around her leg,0,
411,The Coop,a children's party place . a childrenâ€™s party place,1,BC
411,The Living Christmas Company,a Christmas tree renting service . a Christmas tree renting service,1,MC
410,Corks Away,a wine cruise business . a wine cruise business,0,
410,Nearly Newlywed,"a bridal dress boutique which buys, sells, and rents online . a bridal dress boutique which buys, sells, and rents online",0,
410,Ruckpack,"a caffeine free energy drink developed by U.S. special forces . Looking for a legitimate energy drink? RuckPack is it. Created and tested by U.S. Special Operations Forces, RuckPack is an energy shot and nutritional supplement that redefines the energy drink. With 5g of Frutose, Vitamins B6 and B12 and Alpha GPC, RuckPack gives you an immediate short term boost of energy and peak performance nutrition. There is no caffeine or empty energy in these bottles, so you will avoid the shakes and jolts youâ€™d sometimes get with other energy solutions.",1,KOL+RH
410,Tie Try,a neck tie mail-order rental service . a neck tie mail-order rental service,0,
409,Drive Suits,motorized vehicle suits . motorized vehicle suits,1,KOL
409,Ice Chips,"a healthy xylitol hard candy . Candy that is good for you? Nahhh. YES! Ice Chips are a healthy xylitol, delicious, handcrafted hard candy that adult and children alike can enjoy. Created by two very hip grannies, Ice Chips originated in a garage in Yelm, Washington. Ice Chips offers a variety of juicy flavors including Berry Mix Tart, Peppermint, Licorice, Cinnamon, Lemon, Coffee and Cream and more!",1,BC+MC
409,PC Classes Online,a computer instruction service for baby boomers . a computer instruction service for baby boomers,0,
409,ReVestor,a real estate search engine . a real estate search engine,0,
408,Cool Wazoo,"a 5-in-1 baby mat cover . the Original 5-in-1 Convertible Baby Changing Pad, Swing Insert, Highchair Cover, Car Shade and Shopping Cart Cover.",1,LG
408,No Fly Cone,a fly trap that uses dog excrement as bait . a fly trap that uses dog excrement as bait,0,
408,PlateTopper,airtight plate covers . airtight plate cover,1,LG
407,SBU,an electric self-balancing unicycle . an electric self-balancing unicycle,1,KOL+RH
407,Scrub Daddy,"an innovative dish scrubbing tool . The phenomenon that is the Scrub Daddy. The perfect household cleaning tool works on just about anything you can think of. Not only is it suitable for typical household chores like doing the dishes, cleaning appliances and shower enclosures, but itâ€™s also useful for personal use, the outdoors and even washing your car.",1,LG
407,Shemie,modernized slips . modernized slips,0,
407,The Bear & The Rat,dog-friendly frozen yogurt . dog-friendly frozen yogurt,0,
406,Cousins Maine Lobster,a food truck serving lobster from Maine . mobile food truck,1,BC
406,Eco Nuts,natural soap nuts for laundry . natural soap nuts for laundry,0,
406,Freaker USA,beer koozies . beer koozies,0,
406,PRO-NRG,energy-infused flavored water . energy infused flavored water,1,DJ
405,Cozy Bug,a line of pillowcase dresses for girls . a line of pillowcase dresses,1,DJ
405,Marz Sprays,vitamin oral sprays . vitamin oral sprays,1,LG
405,Spatty,a miniature spatula designed to scrape small containers completely clean . a small spatula designed to scrape small containers completely clean,0,
405,Wired Waffles,energy-boosting waffles . energy-boosting waffles. 12 pack.,0,
404,Back 9 Dips,a chicken flavored dip . chicken flavored dip,1,LG+RH
404,Bag Bowl,a sleeve that converts zip-lock bags into temporary bowls . a sleeve that converts zip-lock bags into temporary bowls,1,LG
404,Lifter Hamper,a clothes hamper that raises as you empty it to ease bending over . a clothes hamper that raises as you empty it to ease bending over,0,
404,Zomm,"a device that alerts you if you forget your keys or phone . Zomm is an award winning key chain device for convenience, safety and security. Utilizing bluetooth technology, Zomm connects to your mobile smart phone and makes for seamless emergency connectivity. It makes for a good leash as well as an alarm rings when youâ€™ve lost or left your phone behind.",0,
403,FuzziBunz,"reusable baby diapers . According to kidsgrowth.com, in one year your newborn baby with go through over 2700 diapers. If you have twins like myself, thatâ€™s over 5,000 diapers (not an exaggeration) in one year alone. Whoa. With fuzzibunz youâ€™re choosing the opposite of this. Cloth diapers that are both comfortable and economical.",0,
403,Liz Lovely Cookies,"gluten free, vegan cookies . gluten free, vegan cookies",0,
403,Posture Now,"a posture correcting device . Many of us are culprit to slouching or maintaining bad posture. We now have a solution thatÂ knocks out this bad habit. The worldâ€™s leading posture trainer, the Posture Now is a wearable braceÂ that actsÂ as an effective guide and posture helper. By using this brace for as little as 10-30 minutes a day, it is 100% guaranteed toÂ improve and train yourself for a lifetime of permanent good posture.",1,MC
403,Rock Bands,bracelets made with allegedly healing stones . healing stones you wear on a bracelet,1,DJ+MC
402,Alpha M,a how-to-dress-for-success DVD series for men . a how to dress for success DVD series for men,0,
402,CATEapp,a smartphone app that hides messages from certain contacts . a smartphone app that hides messages from certain contacts,1,DJ+KOL
402,eCreamery,"mail-order personalized ice cream . eCreamery is an online custom ice cream and gelato shop where you choose your own flavor, mix-ins, packaging and even right down to the name of the Ice Cream itself. With eCreamery, you do not have to rely on your resident Ice Cream Man. Now you can have itÂ delivered right to your door. Send it to a friend or relative as a birthday gift, get well gift, as a congratulations for that job promotion and more.",0,
402,SurfSet Fitness,surfing-inspired exercise equipment . surfing-inspired exercise equipment,1,MC
401,Bev Buckle,a belt buckle which serves as a beverage holder . a belt buckle which serves as a beverage holder,1,BC
401,Body Walking,a massage service where the masseuse stands on the client . massage service which operates as masseuse standing on client,0,
